Company,VAN,Qté,Article
BIFA,BIFA LIV01,144,CELEBRITY BEST TIME
BIFA,BIFA LIV01,96,CELEBRITY BEST TIME 9PCS
BIFA,BIFA LIV01,144,BONITO CHOCOLAT
BIFA,BIFA LIV01,72,DADEY GM BLANC
BIFA,BIFA LIV01,60,DUNAROLL MAXI CREME BLANCHE
BIFA,BIFA LIV01,60,DUNAROLL MAXI CREME CACAO
BIFA,BIFA LIV01,84,DADEY GM
BIFA,BIFA LIV01,72,MINI CELEBRITY FONDANT
BIFA,BIFA LIV01,240,DOLCE WAFER COCOA
BIFA,BIFA LIV01,192,BESTO BLANCO X4
BIFA,BIFA LIV01,432,BESTO NOIR PM
BIFA,BIFA LIV01,240,MARSHMALLOW NOIX DE COCO X4
BIFA,BIFA LIV01,240,DAILY JOY CHOCOLATE 125 ML
BIFA,BIFA LIV01,240,BRINO NOIR VANILLE
BIFA,BIFA LIV01,480,TORTO
BIFA,BIFA LIV01,450,WAFER CHOCO
BIFA,BIFA LIV01,180,AVANTAGE
BIFA,BIFA LIV01,132,FAMELIO
BIFA,BIFA LIV01,44,DOLCE TABLETTE CHOCOLAT
BIFA,BIFA LIV01,312,CHAMIA  90G
BIFA,BIFA LIV01,336,BRINO BANANE
BIFA,BIFA LIV01,450,DAILY COCKTAIL 20CL
BIFA,BIFA LIV01,630,DUNAROLL ROUGE
BIFA,BIFA LIV01,672,CELEBRITY FONDANT
BIFA,BIFA LIV01,1968,BRINO JUNIOR
BIFA,BIFA LIV03,180,BREAK ROLL
BIFA,BIFA LIV03,180,AVANTAGE
BIFA,BIFA LIV03,60,BRAVA BISCUIT SANDWICH
BIFA,BIFA LIV03,360,DAILY JOY CHOCOLATE 125 ML
BIFA,BIFA LIV03,18,BISCUIT RS DUO
BIFA,BIFA LIV03,96,BONITO CHOCOLAT
BIFA,BIFA LIV03,60,DUNAROLL MAXI CREME CACAO
BIFA,BIFA LIV03,10,MINI TALENT CACAHOUETE
BIFA,BIFA LIV03,30,BISCUIT SPECULOOS CRUMBS
BIFA,BIFA LIV03,75,DOLCE WAFER COCOA PLUS
BIFA,BIFA LIV03,12,ROYAL HALVA CHOCOLAT CHAMIA AMANDES
BIFA,BIFA LIV03,450,WAFER CHOCO
BIFA,BIFA LIV03,13,CELEBRITY TWIN
BIFA,BIFA LIV03,80,BINTO BIFA
BIFA,BIFA LIV03,14,STORY CHOCOLAT KUNAFA PISTACHE
BIFA,BIFA LIV03,50,DUNAROLL MAXI CREME BLANCHE
BIFA,BIFA LIV03,40,BIG FAMILY CC 8
